game_id,tournament_en,team1,team2,score1,score2,team1_win,bestOf,games_played,datetime
147973,European Pro League Season 36,Nemiga Gaming,Ilbirs eSports,2,0,1,3,2,2026-04-18 15:00:00
147964,European Pro League Season 36,Nemiga Gaming,Ilbirs eSports,2,0,1,3,2,2026-04-18 15:00:00
147891,European Pro League Season 36,Inner Circle,Ilbirs eSports,0,2,0,3,2,2026-04-17 18:30:00
147914,European Pro League Season 36,Inner Circle,Ilbirs eSports,0,2,0,3,2,2026-04-17 18:30:00
147885,European Pro League Season 36,Inner Circle,MODUS,2,1,1,3,3,2026-04-17 17:00:00
147887,European Pro League Season 36,Inner Circle,MODUS,2,1,1,3,3,2026-04-17 17:00:00
147886,European Pro League Season 36,Inner Circle,MODUS,2,1,1,3,3,2026-04-17 17:00:00
147888,European Pro League Season 36,Yellow Submarine,Ilbirs eSports,1,2,0,3,3,2026-04-16 18:00:00
147890,European Pro League Season 36,Yellow Submarine,Ilbirs eSports,1,2,0,3,3,2026-04-16 18:00:00
147889,European Pro League Season 36,Yellow Submarine,Ilbirs eSports,1,2,0,3,3,2026-04-16 18:00:00
147879,European Pro League Season 36,Team Lynx,Nemiga Gaming,2,0,1,3,2,2026-04-16 15:00:00
147880,European Pro League Season 36,Team Lynx,Nemiga Gaming,2,0,1,3,2,2026-04-16 15:00:00
147881,European Pro League Season 36,Team Spirit Academy,MODUS,0,2,0,3,2,2026-04-16 12:00:00
147882,European Pro League Season 36,Team Spirit Academy,MODUS,0,2,0,3,2,2026-04-16 12:00:00
147877,European Pro League Season 36,Nemiga Gaming,Inner Circle,2,1,1,3,3,2026-04-15 17:00:00
147878,European Pro League Season 36,Nemiga Gaming,Inner Circle,2,1,1,3,3,2026-04-15 17:00:00
147876,European Pro League Season 36,Nemiga Gaming,Inner Circle,2,1,1,3,3,2026-04-15 17:00:00
147883,European Pro League Season 36,Rune Eaters,Ilbirs eSports,0,2,0,3,2,2026-04-15 15:00:00
147884,European Pro League Season 36,Rune Eaters,Ilbirs eSports,0,2,0,3,2,2026-04-15 15:00:00
147874,European Pro League Season 36,Yellow Submarine,Team Lynx,0,2,0,3,2,2026-04-15 12:00:00
147875,European Pro League Season 36,Yellow Submarine,Team Lynx,0,2,0,3,2,2026-04-15 12:00:00
147686,DreamLeague Season 29. Closed Qualifiers,Heroic,South America Rejects,3,2,1,5,5,2026-04-15 00:00:00
147695,DreamLeague Season 29. Closed Qualifiers,Heroic,South America Rejects,3,2,1,5,5,2026-04-15 00:00:00
147698,DreamLeague Season 29. Closed Qualifiers,Heroic,South America Rejects,3,2,1,5,5,2026-04-15 00:00:00
147691,DreamLeague Season 29. Closed Qualifiers,Heroic,South America Rejects,3,2,1,5,5,2026-04-15 00:00:00
147693,DreamLeague Season 29. Closed Qualifiers,Heroic,South America Rejects,3,2,1,5,5,2026-04-15 00:00:00
147687,DreamLeague Season 29. Closed Qualifiers,GamerLegion,Amaru Gaming,3,0,1,5,3,2026-04-14 23:00:00
147692,DreamLeague Season 29. Closed Qualifiers,GamerLegion,Amaru Gaming,3,0,1,5,3,2026-04-14 23:00:00
147682,DreamLeague Season 29. Closed Qualifiers,GamerLegion,Amaru Gaming,3,0,1,5,3,2026-04-14 23:00:00
147870,European Pro League Season 36,Rune Eaters,Nemiga Gaming,0,2,0,3,2,2026-04-14 21:30:00
147869,European Pro League Season 36,Rune Eaters,Nemiga Gaming,0,2,0,3,2,2026-04-14 21:30:00
147679,DreamLeague Season 29. Closed Qualifiers,South America Rejects,BarrancoBar,2,1,1,3,3,2026-04-14 20:00:00
147681,DreamLeague Season 29. Closed Qualifiers,South America Rejects,BarrancoBar,2,1,1,3,3,2026-04-14 20:00:00
147680,DreamLeague Season 29. Closed Qualifiers,South America Rejects,BarrancoBar,2,1,1,3,3,2026-04-14 20:00:00
